Timestamp,Gender,State,Parent Education Level,Household Income Level,Study Duration,Study Frequency,Learning Style,Study Resources,Past Exam Practice,Study Space,Attendance,Study Impact by extracurricular activity,Teacher Support,Progress Monitoring,Performance,Score Level
2024-07-07 11:58:08,Female,Enugu,Primary school,Low income,2-4 hours,Never,Group discussions,Past questions,Always,No,Almost always,Hinders somewhat,Rarely,Often,I performed as expected,120 - 200
2024-04-12 09:32:17,Female,Yobe,No formal education,Middle income,Less than 1 hour,4-6 times a week,Watching videos,Videos,Rarely,Yes,Almost always,Helps somewhat,Rarely,Rarely,I performed better than expected,200 - 270
2024-09-30 17:22:54,Male,Bayelsa,University,High income,1-2 hours,Once a week,Listening to lectures,Videos,Never,No,Rarely,Helps a lot,Rarely,Sometimes,I performed as expected,200 - 270
2024-03-14 10:07:16,Male,Bauchi,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,Every day,Listening to lectures,Online materials,Always,Yes,Almost always,Hinders somewhat,Never,Often,I performed as expected,200 - 270
2024-10-05 23:33:37,Female,Imo,No formal education,High income,More than 4 hours,Never,Group discussions,Past questions,Often,Yes,Always,Helps somewhat,Usually,Rarely,I performed as expected,> 270
2024-01-18 00:25:10,Female,Kaduna,Primary school,Low income,2-4 hours,Every day,Hands-on practice,Online materials,Rarely,Yes,Rarely,Helps somewhat,Sometimes,Always,I performed as expected,> 270
2024-03-16 15:40:10,Male,Jigawa,No formal education,Low income,More than 4 hours,2-3 times a week,Group discussions,Textbooks,Sometimes,No,Always,Helps somewhat,Rarely,Rarely,I performed better than expected,120 - 200
2024-07-19 10:51:23,Male,Borno,Secondary school,Middle income,Less than 1 hour,Only before exams,Listening to lectures,Past questions,Often,Yes,Never,Hinders somewhat,Never,Rarely,I performed as expected,200 - 270
2024-08-06 19:51:23,Male,Nasarawa,Primary school,Low income,1-2 hours,2-3 times a week,Hands-on practice,Online materials,Always,No,Rarely,No impact,Usually,Never,I performed better than expected,200 - 270
2024-03-06 12:42:42,Female,Taraba,No formal education,Middle income,1-2 hours,4-6 times a week,Watching videos,Past questions,Often,No,Almost always,Hinders somewhat,Usually,Never,I performed better than expected,200 - 270
2024-05-19 01:59:57,Female,Enugu,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,Never,Listening to lectures,Past questions,Often,No,Sometimes,Hinders a lot,Never,Often,I performed worse than expected,200 - 270
2024-08-16 19:19:12,Male,FCT,"Postgraduate(Masters,PhD)",Middle income,More than 4 hours,2-3 times a week,Hands-on practice,Textbooks,Never,Yes,Sometimes,Helps somewhat,Never,Sometimes,I performed better than expected,> 270
2024-03-09 08:17:39,Female,Sokoto,"Postgraduate(Masters,PhD)",Middle income,1-2 hours,2-3 times a week,Hands-on practice,Tutor,Often,Yes,Sometimes,Helps somewhat,Always,Sometimes,I performed better than expected,120 - 200
2024-02-29 03:04:00,Male,Niger,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,Every day,Group discussions,Videos,Never,Yes,Almost always,Helps somewhat,Always,Rarely,I performed better than expected,< 120
2024-06-05 13:26:44,Male,Oyo,Primary school,Middle income,2-4 hours,Once a week,Watching videos,Past questions,Never,No,Always,Helps a lot,Rarely,Never,I performed better than expected,> 270
2024-05-09 08:04:54,Female,Kano,University,High income,1-2 hours,Once a week,Watching videos,Online materials,Always,Yes,Never,Helps somewhat,Always,Rarely,I performed better than expected,< 120
2024-09-27 14:32:38,Female,Ondo,Primary school,High income,More than 4 hours,Never,Listening to lectures,Past questions,Often,Yes,Never,Helps somewhat,Always,Often,I performed better than expected,> 270
2024-07-15 06:38:17,Female,Katsina,Primary school,Low income,2-4 hours,Never,Reading notes,Videos,Always,No,Sometimes,Hinders somewhat,Usually,Sometimes,I performed as expected,> 270
2024-02-13 05:12:57,Female,Akwa Ibom,No formal education,Low income,Less than 1 hour,Only before exams,Reading notes,Textbooks,Always,No,Sometimes,Helps somewhat,Always,Rarely,I performed worse than expected,< 120
2024-01-02 14:50:22,Female,Enugu,Primary school,Middle income,More than 4 hours,2-3 times a week,Hands-on practice,Online materials,Always,No,Always,No impact,Sometimes,Rarely,I performed as expected,< 120
2024-08-11 16:53:52,Female,Sokoto,Secondary school,High income,Less than 1 hour,Once a week,Watching videos,Past questions,Sometimes,Yes,Rarely,Helps somewhat,Never,Always,I performed better than expected,120 - 200
2024-06-07 20:34:40,Female,Kano,No formal education,Low income,More than 4 hours,Every day,Group discussions,Tutor,Sometimes,Yes,Always,Hinders somewhat,Rarely,Never,I performed as expected,200 - 270
2024-07-29 10:32:02,Female,Ekiti,Secondary school,Low income,Less than 1 hour,4-6 times a week,Hands-on practice,Tutor,Often,No,Never,Hinders a lot,Never,Rarely,I performed as expected,< 120
2024-01-09 15:03:38,Male,Kogi,No formal education,Low income,1-2 hours,Only before exams,Listening to lectures,Online materials,Never,Yes,Always,Hinders a lot,Never,Never,I performed worse than expected,120 - 200
2024-08-09 16:37:19,Female,Bayelsa,University,Middle income,Less than 1 hour,2-3 times a week,Group discussions,Textbooks,Rarely,No,Always,Helps somewhat,Sometimes,Often,I performed better than expected,< 120
2024-04-07 10:43:51,Female,Kwara,Secondary school,High income,2-4 hours,Only before exams,Hands-on practice,Tutor,Sometimes,Yes,Always,No impact,Never,Sometimes,I performed as expected,200 - 270
2024-04-30 02:13:35,Male,Rivers,University,High income,More than 4 hours,Every day,Listening to lectures,Videos,Rarely,Yes,Rarely,No impact,Never,Never,I performed better than expected,120 - 200
2024-01-08 20:10:39,Female,Gombe,Primary school,High income,2-4 hours,2-3 times a week,Hands-on practice,Textbooks,Sometimes,No,Sometimes,Helps somewhat,Usually,Always,I performed better than expected,200 - 270
2024-03-10 08:44:49,Female,Imo,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,Once a week,Listening to lectures,Videos,Rarely,No,Always,No impact,Never,Sometimes,I performed as expected,200 - 270
2024-04-22 10:05:09,Female,Gombe,University,High income,1-2 hours,Never,Hands-on practice,Videos,Sometimes,No,Always,Hinders somewhat,Rarely,Often,I performed as expected,> 270
2024-06-25 05:54:30,Male,Taraba,Primary school,Low income,2-4 hours,Every day,Reading notes,Online materials,Rarely,No,Never,Hinders a lot,Sometimes,Rarely,I performed worse than expected,> 270
2024-09-09 10:11:33,Male,Bauchi,Primary school,Low income,Less than 1 hour,Only before exams,Hands-on practice,Tutor,Often,Yes,Never,Hinders somewhat,Rarely,Never,I performed as expected,> 270
2024-07-15 20:34:07,Male,Kwara,University,Low income,Less than 1 hour,4-6 times a week,Group discussions,Textbooks,Sometimes,No,Always,Helps a lot,Rarely,Always,I performed worse than expected,120 - 200
2024-09-08 07:01:15,Female,Bayelsa,No formal education,High income,Less than 1 hour,Never,Listening to lectures,Textbooks,Sometimes,No,Almost always,Hinders a lot,Usually,Never,I performed worse than expected,< 120
2024-08-08 23:55:19,Male,Gombe,University,Middle income,2-4 hours,2-3 times a week,Reading notes,Past questions,Never,No,Rarely,Helps a lot,Never,Rarely,I performed better than expected,120 - 200
2024-03-26 08:29:31,Male,Borno,No formal education,Middle income,More than 4 hours,Every day,Hands-on practice,Videos,Never,Yes,Rarely,Helps a lot,Sometimes,Often,I performed as expected,> 270
2024-02-23 10:00:49,Female,Bauchi,Primary school,High income,More than 4 hours,Once a week,Watching videos,Tutor,Never,No,Sometimes,Helps a lot,Usually,Rarely,I performed worse than expected,< 120
2024-08-03 14:29:09,Female,Cross River,No formal education,Middle income,More than 4 hours,Never,Reading notes,Textbooks,Always,Yes,Never,Hinders somewhat,Rarely,Always,I performed as expected,< 120
2024-10-04 04:40:17,Female,Oyo,University,Low income,Less than 1 hour,Once a week,Watching videos,Online materials,Often,Yes,Always,Hinders somewhat,Always,Rarely,I performed better than expected,> 270
2024-09-21 07:55:19,Female,Bauchi,Primary school,High income,2-4 hours,Never,Hands-on practice,Textbooks,Never,No,Sometimes,Hinders somewhat,Usually,Always,I performed as expected,200 - 270
2024-08-18 04:05:02,Male,Kebbi,Secondary school,High income,1-2 hours,2-3 times a week,Reading notes,Textbooks,Never,Yes,Sometimes,Helps a lot,Always,Sometimes,I performed better than expected,200 - 270
2024-07-21 18:15:46,Female,Bauchi,Secondary school,High income,2-4 hours,Once a week,Watching videos,Past questions,Never,No,Almost always,Hinders a lot,Sometimes,Sometimes,I performed worse than expected,200 - 270
2024-05-28 06:08:08,Female,Kwara,No formal education,High income,1-2 hours,Never,Reading notes,Videos,Sometimes,No,Almost always,Hinders somewhat,Usually,Rarely,I performed as expected,200 - 270
2024-08-16 22:11:11,Female,Kebbi,Primary school,High income,1-2 hours,4-6 times a week,Group discussions,Online materials,Never,No,Always,Helps somewhat,Usually,Never,I performed worse than expected,< 120
2024-01-24 03:10:45,Female,Enugu,No formal education,Low income,More than 4 hours,2-3 times a week,Group discussions,Textbooks,Often,No,Never,Helps a lot,Sometimes,Rarely,I performed as expected,> 270
2024-08-11 22:51:59,Female,Lagos,University,High income,More than 4 hours,Never,Reading notes,Textbooks,Always,No,Always,No impact,Never,Sometimes,I performed as expected,> 270
2024-10-03 18:56:52,Female,Zamfara,No formal education,Low income,2-4 hours,Once a week,Hands-on practice,Tutor,Always,Yes,Sometimes,Helps a lot,Usually,Often,I performed worse than expected,> 270
2024-05-26 10:49:29,Male,Ogun,Primary school,High income,Less than 1 hour,2-3 times a week,Reading notes,Videos,Rarely,Yes,Almost always,No impact,Usually,Always,I performed worse than expected,120 - 200
2024-03-27 06:53:10,Male,Plateau,Primary school,Middle income,1-2 hours,Never,Reading notes,Online materials,Sometimes,No,Always,Helps a lot,Sometimes,Rarely,I performed worse than expected,200 - 270
2024-09-18 14:33:32,Male,Kano,Primary school,High income,Less than 1 hour,Only before exams,Reading notes,Past questions,Always,No,Always,Helps somewhat,Usually,Sometimes,I performed as expected,200 - 270
2024-05-02 21:56:51,Male,Osun,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,Once a week,Watching videos,Past questions,Often,No,Never,Hinders somewhat,Sometimes,Sometimes,I performed worse than expected,120 - 200
2024-08-14 22:51:48,Male,Enugu,Secondary school,High income,Less than 1 hour,Once a week,Listening to lectures,Videos,Rarely,Yes,Never,Hinders a lot,Rarely,Rarely,I performed as expected,> 270
2024-01-15 21:32:04,Female,Enugu,No formal education,Middle income,1-2 hours,Once a week,Listening to lectures,Past questions,Never,No,Never,Hinders a lot,Never,Never,I performed as expected,> 270
2024-08-01 06:08:16,Female,Niger,"Postgraduate(Masters,PhD)",Low income,2-4 hours,Once a week,Reading notes,Past questions,Always,No,Almost always,Helps a lot,Always,Sometimes,I performed worse than expected,200 - 270
2024-07-23 04:09:17,Male,Kebbi,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,Only before exams,Reading notes,Videos,Often,No,Always,No impact,Never,Never,I performed as expected,> 270
2024-08-18 06:45:01,Male,Borno,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,4-6 times a week,Hands-on practice,Past questions,Rarely,Yes,Always,Hinders somewhat,Sometimes,Sometimes,I performed as expected,< 120
2024-07-26 06:53:37,Female,Cross River,University,Middle income,2-4 hours,4-6 times a week,Listening to lectures,Online materials,Always,No,Never,Helps somewhat,Never,Often,I performed better than expected,120 - 200
2024-07-17 03:06:39,Male,Zamfara,Secondary school,High income,2-4 hours,4-6 times a week,Reading notes,Textbooks,Often,Yes,Always,Helps a lot,Always,Often,I performed as expected,200 - 270
2024-08-27 21:55:13,Female,Bayelsa,University,Middle income,Less than 1 hour,4-6 times a week,Hands-on practice,Videos,Sometimes,No,Rarely,Hinders a lot,Never,Never,I performed worse than expected,120 - 200
2024-06-17 22:42:02,Female,Sokoto,Primary school,Low income,2-4 hours,Never,Listening to lectures,Tutor,Rarely,No,Rarely,Hinders somewhat,Sometimes,Often,I performed worse than expected,120 - 200
2024-09-04 20:09:16,Male,Ogun,No formal education,Middle income,2-4 hours,2-3 times a week,Reading notes,Tutor,Never,No,Rarely,Hinders a lot,Always,Always,I performed worse than expected,> 270
2024-03-27 00:49:38,Male,Ogun,University,Low income,Less than 1 hour,4-6 times a week,Watching videos,Past questions,Always,No,Never,Helps somewhat,Usually,Rarely,I performed as expected,> 270
2024-08-22 13:49:16,Male,Oyo,Secondary school,Middle income,Less than 1 hour,Every day,Listening to lectures,Tutor,Always,Yes,Never,Helps a lot,Sometimes,Never,I performed worse than expected,200 - 270
2024-03-18 23:36:01,Female,Gombe,No formal education,Middle income,2-4 hours,Every day,Watching videos,Online materials,Never,No,Sometimes,Helps somewhat,Usually,Rarely,I performed better than expected,> 270
2024-02-15 22:17:08,Female,Taraba,No formal education,Low income,1-2 hours,Every day,Listening to lectures,Tutor,Never,Yes,Sometimes,Hinders a lot,Always,Always,I performed better than expected,> 270
2024-07-31 05:07:35,Male,Kano,Secondary school,High income,1-2 hours,Every day,Hands-on practice,Tutor,Never,No,Sometimes,Helps a lot,Always,Never,I performed worse than expected,200 - 270
2024-01-13 01:33:04,Male,Nasarawa,No formal education,Low income,More than 4 hours,2-3 times a week,Listening to lectures,Past questions,Sometimes,Yes,Always,Hinders somewhat,Rarely,Often,I performed worse than expected,< 120
2024-02-24 23:24:31,Female,Osun,"Postgraduate(Masters,PhD)",Low income,More than 4 hours,4-6 times a week,Group discussions,Textbooks,Always,No,Never,Helps a lot,Always,Often,I performed as expected,120 - 200
2024-07-15 17:00:53,Female,Plateau,No formal education,High income,More than 4 hours,Every day,Group discussions,Videos,Rarely,Yes,Never,Hinders somewhat,Never,Sometimes,I performed as expected,120 - 200
2024-06-11 02:22:51,Male,Kwara,University,Low income,Less than 1 hour,2-3 times a week,Listening to lectures,Tutor,Sometimes,Yes,Sometimes,Helps somewhat,Usually,Rarely,I performed worse than expected,< 120
2024-01-04 05:58:29,Male,Ondo,University,Low income,More than 4 hours,Only before exams,Hands-on practice,Tutor,Often,Yes,Rarely,Hinders a lot,Always,Always,I performed as expected,120 - 200
2024-03-28 12:56:31,Female,Edo,Secondary school,Low income,More than 4 hours,Every day,Reading notes,Past questions,Never,No,Never,Helps somewhat,Usually,Rarely,I performed better than expected,< 120
2024-05-07 05:58:45,Female,Bauchi,Secondary school,Middle income,2-4 hours,Every day,Watching videos,Textbooks,Rarely,No,Never,No impact,Usually,Rarely,I performed better than expected,> 270
2024-04-05 12:12:18,Male,Gombe,Secondary school,Middle income,2-4 hours,Once a week,Reading notes,Tutor,Rarely,Yes,Rarely,Helps a lot,Never,Rarely,I performed better than expected,> 270
2024-08-15 11:37:04,Male,Ekiti,No formal education,Middle income,2-4 hours,Never,Reading notes,Videos,Rarely,Yes,Sometimes,Helps a lot,Usually,Often,I performed as expected,> 270
2024-03-03 21:35:13,Female,Oyo,Primary school,Low income,Less than 1 hour,Only before exams,Watching videos,Online materials,Sometimes,Yes,Sometimes,Hinders somewhat,Sometimes,Never,I performed better than expected,> 270
2024-07-01 05:10:41,Female,Zamfara,Secondary school,High income,1-2 hours,4-6 times a week,Reading notes,Tutor,Always,Yes,Always,Hinders a lot,Always,Rarely,I performed worse than expected,< 120
2024-06-15 20:38:42,Female,Kebbi,No formal education,Low income,1-2 hours,2-3 times a week,Listening to lectures,Online materials,Often,Yes,Never,Hinders a lot,Rarely,Always,I performed as expected,> 270
2024-04-12 16:48:15,Female,Bayelsa,Primary school,Middle income,2-4 hours,Only before exams,Group discussions,Online materials,Always,No,Never,Helps a lot,Sometimes,Rarely,I performed as expected,120 - 200
2024-10-04 12:17:38,Female,Akwa Ibom,Secondary school,Low income,2-4 hours,4-6 times a week,Watching videos,Tutor,Never,Yes,Sometimes,Hinders somewhat,Rarely,Always,I performed better than expected,200 - 270
2024-02-02 21:24:48,Male,Kwara,"Postgraduate(Masters,PhD)",Low income,More than 4 hours,Never,Watching videos,Textbooks,Rarely,No,Always,Helps a lot,Usually,Sometimes,I performed worse than expected,> 270
2024-05-03 15:33:00,Female,Cross River,"Postgraduate(Masters,PhD)",Low income,1-2 hours,4-6 times a week,Listening to lectures,Videos,Never,No,Rarely,Helps somewhat,Usually,Often,I performed as expected,120 - 200
2024-06-24 05:00:35,Male,Oyo,Primary school,Low income,More than 4 hours,Only before exams,Watching videos,Online materials,Often,Yes,Almost always,Hinders a lot,Never,Sometimes,I performed as expected,< 120
2024-08-02 07:49:23,Male,Oyo,No formal education,Middle income,2-4 hours,4-6 times a week,Group discussions,Textbooks,Rarely,No,Always,Hinders a lot,Sometimes,Often,I performed as expected,< 120
2024-01-04 04:21:49,Male,Adamawa,Primary school,Middle income,Less than 1 hour,Once a week,Watching videos,Tutor,Rarely,No,Almost always,Helps a lot,Usually,Sometimes,I performed better than expected,> 270
2024-02-08 08:37:07,Male,Imo,No formal education,Middle income,2-4 hours,2-3 times a week,Watching videos,Tutor,Often,Yes,Rarely,Hinders somewhat,Rarely,Sometimes,I performed worse than expected,200 - 270
2024-08-24 13:03:18,Male,Cross River,No formal education,Low income,More than 4 hours,Every day,Listening to lectures,Online materials,Always,No,Almost always,No impact,Always,Rarely,I performed worse than expected,< 120
2024-06-14 20:34:26,Female,Sokoto,University,Middle income,2-4 hours,Never,Watching videos,Tutor,Always,No,Sometimes,No impact,Always,Always,I performed better than expected,200 - 270
2024-08-21 20:09:11,Female,Cross River,"Postgraduate(Masters,PhD)",Low income,1-2 hours,Once a week,Hands-on practice,Past questions,Often,No,Sometimes,Helps somewhat,Sometimes,Always,I performed as expected,120 - 200
2024-09-22 06:32:42,Female,Taraba,Primary school,Low income,Less than 1 hour,4-6 times a week,Group discussions,Tutor,Often,Yes,Never,Helps somewhat,Rarely,Never,I performed worse than expected,200 - 270
2024-02-27 14:46:23,Male,Katsina,"Postgraduate(Masters,PhD)",Low income,More than 4 hours,Only before exams,Watching videos,Videos,Often,Yes,Always,Hinders somewhat,Rarely,Often,I performed as expected,120 - 200
2024-02-06 09:28:05,Female,Plateau,Secondary school,Low income,2-4 hours,Never,Watching videos,Videos,Often,Yes,Never,Helps a lot,Always,Sometimes,I performed worse than expected,< 120
2024-05-15 03:17:46,Female,Katsina,Secondary school,Low income,1-2 hours,Once a week,Group discussions,Videos,Often,Yes,Rarely,Hinders somewhat,Sometimes,Never,I performed worse than expected,> 270
2024-09-17 17:30:56,Female,Enugu,Secondary school,Low income,More than 4 hours,Only before exams,Group discussions,Tutor,Often,No,Always,No impact,Always,Always,I performed better than expected,120 - 200
2024-03-29 12:41:08,Female,Enugu,"Postgraduate(Masters,PhD)",Low income,1-2 hours,4-6 times a week,Reading notes,Videos,Never,Yes,Almost always,Hinders a lot,Always,Sometimes,I performed worse than expected,120 - 200
2024-04-22 09:08:03,Female,Adamawa,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,Once a week,Reading notes,Past questions,Rarely,Yes,Always,No impact,Rarely,Sometimes,I performed better than expected,> 270
2024-06-15 20:32:26,Male,Edo,"Postgraduate(Masters,PhD)",Middle income,1-2 hours,Never,Hands-on practice,Online materials,Rarely,Yes,Never,Hinders somewhat,Rarely,Rarely,I performed better than expected,200 - 270
2024-08-08 11:11:30,Female,Edo,Primary school,Middle income,2-4 hours,Every day,Hands-on practice,Online materials,Rarely,No,Always,Helps somewhat,Always,Often,I performed worse than expected,< 120
2024-07-10 22:25:52,Male,Niger,No formal education,Low income,Less than 1 hour,Only before exams,Watching videos,Past questions,Rarely,No,Sometimes,Helps somewhat,Never,Always,I performed worse than expected,200 - 270
2024-06-18 12:18:21,Female,Yobe,Secondary school,High income,Less than 1 hour,Every day,Listening to lectures,Videos,Rarely,No,Sometimes,No impact,Usually,Rarely,I performed as expected,> 270
2024-03-07 05:01:36,Male,Imo,Secondary school,High income,Less than 1 hour,Every day,Watching videos,Online materials,Sometimes,No,Almost always,Helps a lot,Never,Often,I performed as expected,> 270
2024-08-07 07:51:49,Female,Edo,University,High income,2-4 hours,4-6 times a week,Hands-on practice,Textbooks,Often,Yes,Almost always,No impact,Usually,Never,I performed better than expected,120 - 200
2024-09-08 12:31:56,Female,Jigawa,No formal education,High income,Less than 1 hour,2-3 times a week,Watching videos,Textbooks,Often,Yes,Sometimes,Hinders somewhat,Rarely,Often,I performed better than expected,200 - 270
2024-04-24 07:48:46,Male,Bauchi,"Postgraduate(Masters,PhD)",High income,1-2 hours,Never,Watching videos,Online materials,Rarely,Yes,Rarely,Helps a lot,Usually,Sometimes,I performed as expected,120 - 200
2024-10-06 08:59:21,Female,Oyo,Secondary school,High income,More than 4 hours,4-6 times a week,Reading notes,Past questions,Sometimes,No,Rarely,Helps a lot,Always,Often,I performed worse than expected,120 - 200
2024-02-01 18:52:32,Male,Kebbi,University,Low income,More than 4 hours,2-3 times a week,Watching videos,Online materials,Sometimes,Yes,Rarely,Helps a lot,Rarely,Always,I performed as expected,> 270
2024-05-24 20:38:20,Female,Ekiti,No formal education,Middle income,1-2 hours,Every day,Reading notes,Past questions,Sometimes,Yes,Always,Helps somewhat,Usually,Never,I performed better than expected,200 - 270
2024-06-30 10:32:59,Female,Imo,Primary school,High income,More than 4 hours,Once a week,Reading notes,Textbooks,Sometimes,Yes,Almost always,Helps a lot,Usually,Rarely,I performed as expected,120 - 200
2024-03-18 04:09:38,Female,Plateau,Primary school,High income,Less than 1 hour,2-3 times a week,Hands-on practice,Videos,Often,Yes,Sometimes,Helps somewhat,Rarely,Sometimes,I performed as expected,200 - 270
2024-07-28 20:22:31,Female,Anambra,Primary school,Middle income,Less than 1 hour,4-6 times a week,Listening to lectures,Videos,Rarely,Yes,Never,Helps a lot,Rarely,Always,I performed better than expected,120 - 200
2024-07-12 07:43:53,Female,FCT,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,4-6 times a week,Reading notes,Past questions,Always,No,Never,Hinders a lot,Sometimes,Often,I performed better than expected,> 270
2024-05-31 07:56:59,Female,Ekiti,No formal education,Middle income,Less than 1 hour,Once a week,Group discussions,Past questions,Often,No,Sometimes,No impact,Never,Always,I performed worse than expected,200 - 270
2024-02-21 23:18:09,Female,Yobe,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,4-6 times a week,Reading notes,Tutor,Always,No,Rarely,Helps a lot,Rarely,Rarely,I performed as expected,200 - 270
2024-05-20 20:01:46,Male,Bayelsa,Secondary school,Low income,More than 4 hours,Every day,Watching videos,Online materials,Rarely,No,Rarely,Helps somewhat,Sometimes,Often,I performed better than expected,120 - 200
2024-07-19 19:04:55,Female,Imo,"Postgraduate(Masters,PhD)",Low income,More than 4 hours,Every day,Group discussions,Videos,Rarely,Yes,Almost always,Helps a lot,Sometimes,Often,I performed worse than expected,200 - 270
2024-06-01 02:40:36,Male,Kwara,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,Every day,Listening to lectures,Textbooks,Always,No,Rarely,Hinders somewhat,Usually,Never,I performed better than expected,> 270
2024-02-29 12:54:10,Female,Katsina,"Postgraduate(Masters,PhD)",Low income,2-4 hours,Once a week,Reading notes,Past questions,Rarely,No,Always,No impact,Always,Sometimes,I performed better than expected,< 120
2024-09-24 07:15:28,Male,Bauchi,Secondary school,Middle income,1-2 hours,4-6 times a week,Hands-on practice,Videos,Always,No,Never,Hinders somewhat,Usually,Sometimes,I performed as expected,200 - 270
2024-06-24 22:09:12,Male,Abia,Primary school,Low income,2-4 hours,2-3 times a week,Group discussions,Past questions,Often,No,Always,Helps a lot,Sometimes,Sometimes,I performed better than expected,< 120
2024-09-12 03:09:42,Female,Kogi,University,Low income,2-4 hours,2-3 times a week,Listening to lectures,Online materials,Rarely,No,Always,Helps a lot,Never,Never,I performed worse than expected,< 120
2024-06-01 23:56:07,Male,Enugu,Primary school,High income,1-2 hours,Every day,Hands-on practice,Tutor,Sometimes,Yes,Almost always,Helps somewhat,Sometimes,Often,I performed worse than expected,120 - 200
2024-02-14 04:20:33,Female,Enugu,Secondary school,Low income,More than 4 hours,2-3 times a week,Hands-on practice,Online materials,Always,No,Almost always,Helps somewhat,Sometimes,Never,I performed better than expected,120 - 200
2024-07-24 21:41:09,Male,Enugu,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,Every day,Listening to lectures,Past questions,Often,No,Rarely,Helps a lot,Usually,Always,I performed better than expected,200 - 270
2024-04-24 14:01:08,Female,Bayelsa,"Postgraduate(Masters,PhD)",Middle income,2-4 hours,Once a week,Reading notes,Tutor,Always,No,Almost always,Helps somewhat,Never,Sometimes,I performed better than expected,< 120
2024-06-12 15:47:12,Female,Katsina,Secondary school,Low income,1-2 hours,Never,Watching videos,Textbooks,Never,Yes,Rarely,Hinders a lot,Always,Sometimes,I performed as expected,200 - 270
2024-05-13 15:11:20,Male,Benue,University,Middle income,1-2 hours,Only before exams,Reading notes,Online materials,Rarely,No,Almost always,Hinders somewhat,Always,Sometimes,I performed as expected,> 270
2024-02-06 12:28:07,Female,Anambra,Primary school,High income,2-4 hours,Once a week,Group discussions,Online materials,Rarely,No,Always,Hinders somewhat,Usually,Always,I performed worse than expected,120 - 200
2024-04-16 15:26:47,Female,Nasarawa,Primary school,Middle income,1-2 hours,Never,Group discussions,Videos,Often,Yes,Always,No impact,Rarely,Often,I performed better than expected,120 - 200
2024-05-15 21:30:30,Male,Oyo,"Postgraduate(Masters,PhD)",Low income,More than 4 hours,2-3 times a week,Watching videos,Tutor,Always,Yes,Almost always,Hinders somewhat,Never,Often,I performed as expected,120 - 200
2024-05-25 11:05:47,Male,Gombe,Primary school,High income,Less than 1 hour,4-6 times a week,Listening to lectures,Online materials,Rarely,Yes,Sometimes,Helps a lot,Rarely,Rarely,I performed better than expected,> 270
